id,es,en
BOT_JUG,Jugar,Play
BOT_SAL,Salir,Exit
BOT_VAJ,Volver a jugar,Play again
BOT_TER,Terminar,Finish
FDJ,Fin del Juego,End of the Game
PTS,Puntuación:,Points:
PTST,Puntuación total: ,Total points: 
JHFM,Fallaste más de la mitad de las preguntas :-(,You got half of your questions wrong :-(
JHFB,¡Muy bien! ¡Acertaste,Very good! You answer 
JHFB2,preguntas!,correctly!
JWFIN,¡Completastes el experimento correctamente!,You completed the experiment correctly!
WT1,"La biología sintética es una rama de la biología  que combina los principios de esta con los de la ingeniería para generar organismos o funciones que no existen en la naturaleza, con el objetivo de hacer frente a problemas que afectan a la sociedad. Para conseguir esto, los que trabajamos en biología sintética creamos y combinamos fragmentos de ADN para dar lugar a secuencias más complejas, llamadas construcciones genéticas, que contienen la información necesaria para que se realicen esas nuevas funciones.","Synthetic biology is a branch of biology that combines the principles of biology with those of engineering to generate organisms and/or functions that do not exist in nature, with the aim of addressing problems that affect society. To achieve this, those of us working in synthetic biology create and combine fragments of DNA to give rise to more complex sequences, called genetic constructs, which contain the information necessary for these new functions to be realised."
WT2,"El quorum sensing es un proceso mediante el cual las bacterias pueden comunicarse entre sí y regular algunas de sus actividades en función de la densidad de población de bacterias. Este fenómeno se basa en que las bacterias de determinadas especies producen y liberan unas moléculas que actúan como señales y que reciben el nombre de autoinductores. Cuando la densidad de la población es baja y hay pocas bacterias produciendo estas moléculas, no hay suficiente concentración y no se genera ninguna respuesta por parte de las células.","Quorum sensing is a process by which bacteria can communicate with each other and regulate some of their activities depending on the bacterial population density. This phenomenon is based on the fact that bacteria of certain species produce and release molecules that act as signals and are called autoinducers. When the population density is low and there are few bacteria producing these molecules, there is not enough concentration and no response is generated by the cells. "
WT3,"Las enzimas de restricción son proteínas que tienen la capacidad de cortar el ADN sobre secuencias específicas. Por ejemplo, la enzima EcoRI corta siempre que encuentre la secuencia GAATTC en el ADN. Las enzimas de restricción forman parte de un sistema de defensa de las bacterias contra los virus. Sin embargo, pronto los investigadores las han aplicado a la ingeniería genética, al ser capaces de cortar fragmentos de ADN dejando en ellos extremos que permiten unir unas secuencias con otras de forma específica.","Restriction enzymes are proteins that have the ability to cut DNA at specific sequences. For example, the EcoRI enzyme cuts whenever it finds the sequence GAATTC in DNA. Restriction enzymes are part of a bacterial defence system against viruses. However, researchers have soon applied them to genetic engineering, as they are able to cut fragments of DNA, leaving DNA ends that allow sequences to be linked to other sequences in a specific way."
WT4,"Los stakeholders son las personas o entidades interesadas en un proyecto, y además, apoyan ya sea dando recursos o información, principalmente. Para desarrollar un proyecto de biología sintética adecuado y que realmente busque hacer frente a problemáticas sociales, es necesario hablar con todas estas personas. Así podremos ir conociendo sus necesidades reales a lo largo del desarrollo del proyecto e ir amoldandonos a ellas.","The stakeholders are the people or entities interested in a project, and also, they support them either by giving them resources or information, mainly. In order to develop an adequate synthetic biology project that really seeks to address social problems, it is necessary to talk to all these people. In this way we can get to know their real needs throughout the development of the project and adapt to them."
WT5,"El ADN es la molécula en la que todos los seres vivos almacenan su información genética, información necesaria para su desarrollo. A su vez, el ADN está formado por una sucesión de otras moléculas: los nucleótidos, que contienen cada uno una base nitrogenada. Hay 4 tipos de nucleótidos en función de la base nitrogenada que presenten: nucleótidos de adenina (A), timina (T), citosina (C) y guanina (G). Toda la información de las células se almacena por combinación de tan solo estas 4 letras.","DNA is the molecule in which all living beings store their genetic information, information necessary for their development. In turn, DNA is made up of a succession of other molecules: nucleotides, each containing a nitrogenous base. There are 4 types of nucleotides depending on the nitrogenous base they contain: adenine (A), thymine (T), cytosine (C) and guanine (G) nucleotides. All the information of the cells is stored by a combination of only these 4 letters."
WT6,"La expresión génica es el proceso por el que las células emplean la información del ADN para la producción de proteínas específicas. Estas son las moléculas responsables de realizar la mayor parte de las funciones celulares. La expresión génica tiene dos fases esenciales: la primera es la transcripción, en la que se genera una copia del ADN en forma de ARN y la siguiente es la traducción, en la que el ARN, gracias a los ribosomas, se utiliza para generar una proteína.","Gene expression is the process by which cells use information from DNA to produce specific proteins. These are the molecules responsible for carrying out most cellular functions. Gene expression has two essential phases: the first is transcription, in which a copy of the DNA is generated in the form of RNA, and the next is translation, in which the RNA, thanks to the ribosomes, is used to generate a protein."
WP1,Tubos,Tubes
WP2,Microscopio,Microscope
WP3,Placa Petri,Petri dish
WP4,Pizarra,Whiteboard
WP5,Usando pipeta,Using pipette
WP6,Vasos,Glasses
WF1,"Fina, a mano","Fine, handwritten"
WF2,Tiza,Chalk
WF3,"Gruesa, comic","Thick, comic"
WF4,Arial,Arial
JWI,Imagen: ,Image: 
JWF,Fuente: ,Font: 
TITULO,LOS MOHOCYTOS,THE MOHOCYTES
SUBTITULO,UNA EXPERIENCIA EN BIOLÓGICA SINTÉTICA,A SYNBIO EXPERIENCE
PAS1,Este eres tú.,This is you.
PAS2,Estás muy emocionado porque es tu primer día trabajando en un proyecto.,You’re very excited because it’s your first day working on a project.
PAS3,"Sabes que el proyecto es sobre biología sintética, y que se presentará a una competición.","You know that the project is about synthetic biology, and that it will be entered into a competition."
PAS4,Y estás bastante seguro de que la biología sintética es una rama muy novedosa de la biología.,And you're pretty sure that synthetic biology is a very new branch of biology.
PAS5,"Pero más allá de eso, estás un poco perdido.","But beyond that, you're a bit lost."
PAS6,"¡Aun así, estás lleno de ganas de trabajar e instruirte!","Still, you're full of desire to work and educate yourself!"
PAS7,"(Mmmm, este tiene que ser el sitio.)","(Mmmm, this has to be the place.)"
PAS8,"(Es verdad que me inscribí en este proyecto de biología sintética porque sonaba interesante, pero ando un poco perdido.)","(It's true that I signed up for this synthetic biology project because it sounded interesting, but I'm a bit lost.)"
PAS9,(Por ahora no veo a nadie…),(I don’t see anyone at the moment…)
PAS10,"(Tal vez podría acercarme a esa habitación de ahí, a ver si alguien me puede guiar un poco.)","(Maybe I could go over to that room over there, see if someone can help me a little bit.)"
PAS11,"Debería ir a la Gran Final, que me están esperando.","I should go to the Grand Final, they are waiting for me."
PAS12,Creo que primero investigaré esa puerta rosa...,I think I will go through that pink door…
PAS13,¡Ahora no es el momento de ponerme a explorar!,Now it’s not the time to explore this hall!
PAS14,Debería llevar esto a Wetlab.,I should bring this to Wetlab.
PAS15,¡Tengo que demostrar mis conocimientos al jefe de Human Practices!,I have to demonstrate my knowledge to the leader of Human Practices.
PAS16,Antes debería hablar con los miembros de Redes Sociales.,I should talk to the members of Social Media.
PAS17,¡No hay tiempo!,There is no time!
PAS18,Tengo que hablar con los de Wiki,I have to talk to Wiki.
H1,¡Rápido! ¡Rápido! ¡RÁPIDO!,Come on! Hurry up!
H2,¡Aseguraos de que esté todo bien!,Make sure everything is alright!
H3,"¡Vamos tan rápido como podemos, pero no hay tiempo!","We're going as fast as we can, but there's no time!"
H4,"(Ups, parece que no he llegado en un buen momento…)","(Oops, It doesn’t seem to have come at a good time…)"
H5,"(Voy a hablar con esa persona de ahí, parece que es la que dirige todo esto.)","(I'm going to talk to that person over there, she seems to be the one running this whole thing.)"
H6,¿Ves como no era para tanto?,See how it was no big deal?
H7,"Lo has hecho genial, si es que eres casi un experto en biología sintética.","You did great, you're almost an expert in synthetic biology."
H8,¿Tú crees?,You think so?
H9,¡Claro que sí!,Of course I do!
H10,Creo que ya va siendo hora de que te añadamos a la página web como miembro oficial del equipo.,I think it's time to add you to the website as an official member of the team.
H11,¿Por qué no te pasas a hablar con el área de Redes Sociales?,Why don't you talk to the Social Networks area?
H12,¡Ya estás de vuelta!,You're back!
H13,¿Te han explicado lo que es la biología sintética?,Did they explain to you what synthetic biology is?
H14,Así es.,That's right.
H15,Mmmmmm…,Mmmmmm…
H16,Ya verás como se les ha olvidado decirte algo esencial...,You'll see they forgot to tell you something essential...
H17,¿¿??,¿¿??
H18,¿Me sabrías decir para qué sirve lo que hacemos en Human Practices?,Can you tell me what is the purpose of what we do at Human Practices?
H19,"Pues eeh… algo han mencionado de que la biología sintética suele tener carácter social, pero poco más…","Well eeh... they mentioned that synthetic biology tends to have a social character, but not much more..."
H20,¡Si es que ya lo sabía yo!,But I already knew that!
H21,Human Practices se encarga de la parte más social de la biología sintética:,Human Practices deals with the more social side of synthetic biology:
H22,"buscamos conocer cómo el problema que tratamos afecta a las personas,","we seek to understand how the problem we are dealing with affects people,"
